,CrossPercent,OrderedCrossPercent,MutationPercent,NumGen,GenSize,TourneyKeep
0,0.09994295342955635,0.010506749313831627,0.0134344179289704,1500.0,100.0,0.6449904881303093
1,0.009029157972199262,0.05758509188524931,0.09399762223005423,1500.0,100.0,0.6628367767125563
2,0.03503846495188601,0.0034153399863891664,0.007737143021417777,1500.0,100.0,0.7079648013566386
3,0.03703892751304424,0.04898570588320721,0.05901917692963757,1500.0,100.0,0.8748326406071281
4,0.05026045523540066,0.09885226910489667,0.07246924207188478,1500.0,100.0,0.9467554193004947
5,0.01096921638434056,0.002052373501016132,0.036826306285802024,1500.0,100.0,0.9173059516036994
6,0.05893149094524213,0.07791423116208135,0.08987430324187974,1500.0,100.0,0.6144308644180366
7,0.014695518080112328,0.08026832195141921,0.029734724903908688,1500.0,100.0,0.8627743374239382
8,0.047187674862151884,0.0877289603421274,0.08069553769174108,1500.0,100.0,0.6368068918392494
9,0.0728163370321184,0.029815172756732237,0.09184284200881855,1500.0,100.0,0.9762619869596395
10,0.04420573694113355,0.05430337857315013,0.06171210658004299,1500.0,100.0,0.7312614420595682
11,0.0796598637220247,0.06671575858381729,0.05271292714029789,1500.0,100.0,0.7188233062940724
12,0.00602755038019938,0.07432551455542828,0.0855547561786086,1500.0,100.0,0.6851910345799697
13,0.0001747607596291149,0.00798932408159753,0.026257026685068914,1500.0,100.0,0.8485925868300649
14,0.0185063222759368,0.0532831680060975,0.031273137318449724,1500.0,100.0,0.9810750289802348
15,0.020158881594774008,0.03154936581110313,0.09949445145702969,1500.0,100.0,0.8982573303165102
16,0.02853930782261861,0.07046766386173971,0.0670930086039605,1500.0,100.0,0.8375291850253113
17,0.08328501875034858,0.09416423655894741,0.03500405505663595,1500.0,100.0,0.7958650613523208
18,0.04200073839842472,0.0441398987823831,0.07573953040776978,1500.0,100.0,0.6961479297022894
19,0.06796068690610627,0.060098242394375744,0.01005018895920397,1500.0,100.0,0.7766486305177078
20,0.09104349925091516,0.09301022589708327,0.047049872711525546,1500.0,100.0,0.9546181704043798
21,0.08617958718423903,0.03693410617287972,0.06442362107814709,1500.0,100.0,0.7651645200287143
22,0.06114912791057276,0.020391718870869314,0.02299626725704613,1500.0,100.0,0.9330654329820594
23,0.05356692332254061,0.015787562943273294,0.017192976266009134,1500.0,100.0,0.8102095646103168
24,0.06662375276981741,0.01993638747833393,0.045320546050185734,1500.0,100.0,0.6092980938773571
25,0.08883293694521395,0.06578995575920377,0.05454874233945098,1500.0,100.0,0.6701496751276258
26,0.030929012543724082,0.03491363365440276,0.0008642324777391652,1500.0,100.0,0.83117803042457
27,0.09486568306990979,0.02596251154009717,0.041028787518001354,1500.0,100.0,0.7824602403802337
28,0.07610929583116344,0.042880722344754735,0.004123193475481928,1500.0,100.0,0.7483573530386178
29,0.023972854176189533,0.08629998877633734,0.07841402768365849,1500.0,100.0,0.9023084562410408
